LB,SMILES,Exp,DFT,Pred
286,CN1CCCN(C)C1=O,112.13,110.7297661928634,94.59463
287,CN(C)C(C)=O,112.14,104.7068729839101,101.097015
288,CN1CCCC1=O,112.56,89.87017171230355,100.460754
289,CCN(CC)C=O,113.2,104.26841449999704,94.84428
290,CCN(CC)C(C)=O,113.61,108.49284399997663,108.8267
291,O=CN1CCCCC1,114.16,104.53621549986768,96.16919
292,CN1C=CC=CC1=O,116.94,114.76253799999999,107.402374
293,C[N+](C)(C)[N-]C(=O)C1=CC=C(C=C1)N(=O)=O,108.34,113.31210708514718,131.7039
294,C[N+](C)(C)[N-]C(=O)C1=CC=C(C=C1)C#N,110.83,114.88516247230251,119.47956
295,C[N+](C)(C)[N-]C(=O)C1=CC=C(C=C1)C(F)(F)F,112.86,117.43329545477098,131.72368
296,C[N+](C)(C)[N-]C(=O)C1=CC=C(Br)C=C1,113.14,119.0959086543523,130.54066
297,C[N+](C)(C)[N-]C(=O)C1=CC=C(F)C=C1,113.36,120.17382778015347,131.33504
298,C[N+](C)(C)[N-]C(=O)C1=CC=CC=C1,115.96,121.96161040783167,129.52115
299,CC1=CC=C(C=C1)C(=O)[N-][N+](C)(C)C,116.9,124.07030308147404,132.21466
300,C[N+](C)(C)[N-]C(=O)C1=CC=C(C=O)C=C1,117.57,116.31283761536785,131.41003
301,CC(=O)[N-][N+](C)(C)C,129.33,135.77963756769313,137.19984
302,C[N+]([O-])=O,37.63,29.903663373996306,28.476635
303,[O-][N+](=O)C1=CC=CC=C1,35.79,36.464888122613864,31.154812
304,C1COS(=O)O1,50.0,42.56651101528926,39.2969
305,COS(=O)OC,51.27,48.134059702268864,35.610992
306,C1CCS(=O)(=O)C1,51.32,55.584571523229975,46.81787
307,CCN(CC)S(=O)(=O)N(CC)CC,55.08,64.77397201856901,51.45835
308,CCOS(=O)OCC,55.13,55.34849096828905,49.650715
309,O=S(C1=CC=CC=C1)C1=CC=CC=C1,90.34,98.58945799999968,44.84836
310,CS(=O)C1=CC=CC=C1,97.37,101.23858749999958,113.93281
311,CS(C)=O,105.34,105.2214709999996,104.6167
312,CCCCS(=O)CCCC,107.6,116.26169849999981,108.56966
313,C1CCS(=O)C1,108.1,112.73040099999993,105.402626
314,O=P1(OC2=CC=CC=C2)OCC(CO1)(C1=CC=CC=C1)C1=CC=CC=C1,65.3,71.30001064261121,44.16561
315,P(=O)(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1,66.41,74.76829644613728,39.105785
